ticker,type,strike,expiry,iv,open_interest,market_price
BOVAD147,CALL,R$ 147.00,17/04/2026,0.0%,10502,4.82
BOVAM170W5,PUT,R$ 170.00,30/01/2026,18.4%,10500,-31.1
BOVAS139,PUT,R$ 139.00,17/07/2026,22.8%,10372,7.77
BOVAO940,PUT,R$ 94.00,20/03/2026,46.8%,10301,0
BOVAV40,PUT,R$ 200.00,16/10/2026,27.5%,10294,1.03
BOVAR150,PUT,R$ 150.00,19/06/2026,20.1%,10248,-9.39
BOVAU24,PUT,R$ 145.00,17/09/2027,25.4%,10162,-4.04
BOVAB104,CALL,R$ 104.00,20/02/2026,0.0%,10150,1.81
BOVAD166,CALL,R$ 166.00,17/04/2026,15.2%,10101,15.74
BOVAG185,CALL,R$ 185.00,16/07/2027,13.5%,10100,-1.84
BOVAL1,CALL,R$ 135.00,18/12/2026,0.0%,10072,-0.69
BOVAD152,CALL,R$ 152.00,17/04/2026,8.9%,10072,7.63
BOVAA157W5,CALL,R$ 157.00,30/01/2026,15.5%,10058,16.34
BOVAB156W1,CALL,R$ 156.00,06/02/2026,14.3%,10040,12.58
BOVAW78,PUT,R$ 160.00,19/11/2027,26.5%,10022,13.02
BOVAG175,CALL,R$ 175.00,16/07/2027,11.3%,10006,13.57
BOVAO840,PUT,R$ 84.00,20/03/2026,55.4%,10001,0
BOVAG187,CALL,R$ 187.00,16/07/2027,13.7%,10001,-19.44
BOVAN760,PUT,R$ 76.00,20/02/2026,50.1%,10000,0
BOVAN770,PUT,R$ 77.00,20/02/2026,49.3%,10000,0
BOVAB780,CALL,R$ 78.00,20/02/2026,0.0%,10000,1.64
BOVAW128,PUT,R$ 128.00,19/11/2026,27.9%,10000,0
BOVAP133,PUT,R$ 133.00,17/04/2026,25.0%,10000,0
BOVAV141,PUT,R$ 141.00,16/10/2026,24.4%,10000,13.2
BOVAF159,CALL,R$ 159.00,19/06/2026,14.2%,10000,7.32
BOVAB168W4,CALL,R$ 168.00,27/02/2026,12.8%,10000,12.75
BOVAP172,PUT,R$ 172.00,17/04/2026,18.5%,10000,-6.61
BOVAM176W4,PUT,R$ 176.00,23/01/2026,32.0%,10000,0
BOVAN180W1,PUT,R$ 180.00,06/02/2026,25.8%,10000,0
BOVAG180,CALL,R$ 180.00,16/07/2027,12.6%,10000,115.82
